speaker,speech_count
Nick Raynsford,1
Jim Knight,1
Ernest Pretyman,1
Julian Amery,1
Humphrey Atkins,1
Lord Bishop of Leeds,1
Johnny Mercer,1
Alex Neil,1
Baroness Stedman-Scott,1
Denis Healey,1
Mo Mowlam,1
Lord Saatchi,1
Stephen Kinnock,1
Thomas Boardman,1
Nick Hardwick,1
David Moran,1
Paul Davies,1
Sir John Chilcot,1
Andrew Mowie,1
Charles Clarke,1
Sammy Wilson,1
Jane Ellison,1
Bill Grant,1
Konni Zilliacus,1
Virendra Sharma,1
Dave Prentis,1
David Heathcoat-Amory,1
Dawn Primarolo,1
Merlyn Rees,1
Neil O’Brien,1
Nick Ramsay,1
Colin Shepherd,1
Eric Bullus,1
Robert Maxwell,1
Sarah Olney,1
Derek Twigg,1
Sarah Champion,1
Mike Hill,1
Walter Clegg,1
Robert Syms,1
Marcus Lipton,1
Rachel Maclean,1
Lord Wallace,1
Martin Schulz,1
Hugh Jenkins,1
Dennis Turner,1
Donald Tusk,1
Nigel Dodds,1
Michel Barnier,1
Arthur Balfour,1
Chris Evans,1
Eric Forth,1
Ann Clwyd,1
Kelly Tolhurst,1
Nicholas Soames,1
Baroness Symons,1
Mhairi Black,1
Roger Helmer,1
Richard Lochhead,1
Douglas Carswell,1
David Beckham,1
Alec Douglas-Home,1
Jonathan Allen,1
George Freeman,1
Alex Chalk,1
Shami Chakrabarti,1
Prince Charles,1
Archie Norman,1
Hugh Robertson,1
Ruth Kelly,1
Rory Stewart,1
Dennis Skinner,1
Helen Whatley,1
Edwin Wainwright,1
John Ashworth,1
Andrew Robathan,1
Meg Munn,1
Philip Hunt,1
Alok Sharma,1
Peter Wilson,1
Anthony Barber,1
Richard Harrington,1
Paul Murphy,1
Lord Ahmad,1
Anne-Marie Trevelyan,1
Darren Jones,1
James Heappey,1
Maria Caulfield,1
Adam Holloway,1
Stephen Phillips,1
Christopher (Bishop of Coventry) Cocksworth,1
Valerie Amos,1
Keith Simpson,1
Barbara Keeley,1
Fabian Hamilton,1
Viscount Astor,1
John Roper,1
Herman von Rompuy,1
Paul Thomas Arkwright,1
David Rendel,1
Richard Attenborough,1
Louise Bours,1
Sal Brinton,1
Kenny MacAskill,1
George Howarth,1
Jared O’Mara,1
Sian Berry,1
Jo Cox,1
Alex Brazier,1
Sheryll Murray,1
Jamie Reed,1
Angela Merkel,1
Barbara Woodward,1
Bambos Charalambous,1
Anne Swift,1
Philip Hollobone,1
Mark Reckless,1
Ruth Smeeth,1
David Steel,1
Iain MacLeod,1
Nigel Mills,1
Willie Rennie,1
Lord Callanan,1
Paul Flynn,1
Leo Abse,1
Keith Vaz,1
Jim McMahon,1
Gillian Shephard,1
Wera Hobhouse,1
Irene Adams,1
Michael Kane,1
Robert Peel,1
Mark Lyall Grant,1
Rosena Allin-Khan,1
Eilidh Whiteford,1
Jonathan Morgan,1
Kim Howells,1
John Monks,1
Paul Sweeney,1
Francis Pym,1
Viscount Samuel,1
John Redwood,1
Matt Rodda,1
Baroness Sugg,1
Nick Boles,1
Peter Bottomley,1
Chris Kelly,1
Cecil Franks,1
Harry Harpham,1
Paul Kenny,1
Stephen Dorrell,1
David Burrowes,1
Shaun Woodward,1
Hamid Karzai,1
Richard Drax,1
William Waldegrave,1
Viscount Melbourne,1
George Roberts,1
Paul Beresford,1
Edward Garnier,1
Oliver Heald,1
David Morris,1
Ian Murray,1
Eldon Griffiths,1
Mike Nesbitt,1
Padraig Flynn,1
Ben Lake,1
Nick Brown,1
Caroline Nokes,1
Mike Penning,1
Andrew Murrison,1
Andrew Gwynne,1
